"","CODE","LEVEL_ID","P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","IDENTIFY","BEGDATE","ENDDATE","N","dN","comp.cl","art.cl"
"1","CCG","1720","1BOW.27.101","4295","Site C","435",0.12,546402.84,4685626.83,"STP","C22","1",0,29,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,2,16.6666666666667,"2","2"
"2","CCG","1745","1BOW.27.101","4788","Site A","467",0.99,546394.58,4685600.05,"EU","03","2",25.8,116,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,1,1.01010101010101,"3","2"
"3","CCG","1890","1BOW.27.101","5902","Site C","454",0.99,546410.72,4685651.81,"EU","11","4",71.6,97.8,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,1,1.01010101010101,"1","2"
"4","CCG","1824","1BOW.27.101","3422","Site A","480",1,546389.68,4685609.19,"EU","15","4",36,46,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,2,2,"3","2"
"5","CCG","1757","1BOW.27.101","5153","Site A","472",1,546395.78,4685610.31,"EU","07","7",67.6,73.4,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,2,2,"1","2"
"6","CCG","1838","1BOW.27.101","4050","Site A","499",0.5,546401.93,4685613.23,"EU","30","5",59.2,66.4,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,8,16,"6","2"
"7","CCG","1755","1BOW.27.101","5058","Site A","472",1,546395.78,4685610.31,"EU","07","5",48,57.4,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,1,1,"1","2"
"8","CCG","1799","1BOW.27.101","3682","Site A","488",1,546386.09,4685602.58,"EU","23","2",13.6,45,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,1,1,"4","2"
"9","CCG","1306","1BOW.00.101","1720","Site A","228",0.99,546386.5,4685603.49,"EU","1","1",7.4,17.8,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,1,1.01010101010101,"4","2"
"10","CCG","1758","1BOW.27.101","5206","Site A","472",1,546395.78,4685610.31,"EU","07","8",73.4,80.2,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,3,3,"3","2"
"11","CCG","1887","1BOW.27.101","5848","Site C","454",0.99,546410.72,4685651.81,"EU","11","1",4,14.6,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,1,1.01010101010101,"2","2"
"12","CCG","1843","1BOW.27.101","4122","Site A","500",0.5,546404.13,4685618.55,"EU","31","3",23,27.6,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,2,4,"6","2"
"13","CCG","1886","1BOW.27.101","5779","Site C","453",0.99,546411.22,4685650.62,"EU","10A","1",4.75,19.2,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,2,2.02020202020202,"2","2"
"14","CCG","1839","1BOW.27.101","4088","Site A","499",0.5,546401.93,4685613.23,"EU","30","6",66.4,72.4,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,4,8,"3","2"
"15","CCG","1757","1BOW.27.101","5159","Site A","472",1,546395.78,4685610.31,"EU","07","7",67.6,73.4,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,1,1,"1","2"
