"CODE","LEVEL_ID","P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","U_TYPE","U_LBL","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","IDENTIFY","BEGDATE","ENDDATE","N","zN","comp.grp","art.grp"
"ABG",1726,"PIN 1BOW.27.101",1988,12645,463,"EU","01","2",11.8,37.2,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,2,0.137037741965506,"4","1"
"ABG",1817,"PIN 1BOW.27.101",2930,12645,477,"EU","12","2",28.2,35.8,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,2,0.137037741965506,"4","1"
"ABG",1830,"PIN 1BOW.27.101",3952,12645,495,"EU","29","2",20,30,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,17,1.1648208067068,"4","1"
"ABG",1737,"PIN 1BOW.27.101",4641,12645,464,"EU","02","1",4.4,11.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,33,2.26112274243085,"4","1"
"ABG",1752,"PIN 1BOW.27.101",4975,12645,472,"EU","07","2",12,29.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,10,0.685188709827532,"4","1"
"ABG",1756,"PIN 1BOW.27.101",5127,12645,472,"EU","07","6",57.4,67.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,16,1.09630193572405,"4","1"
"ABG",1785,"PIN 1BOW.27.101",3534,12645,481,"EU","16","3",34.6,43,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,3,0.205556612948259,"3","1"
"ABG",1761,"PIN 1BOW.27.101",5313,12645,473,"EU","08","2",19.75,22.2,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,8,0.548150967862025,"1","1"
"ABG",1750,"PIN 1BOW.27.101",4872,12645,471,"EU","06","1",2.6,34.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,15,1.0277830647413,"3","1"
"ABG",1681,"PIN 1BOW.27.101",3267,12645,412,"STP","B","1",0,16,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1788,"PIN 1BOW.27.101",3551,12645,482,"EU","17","1",9.6,19,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"4","1"
"ABG",1759,"PIN 1BOW.27.101",5222,12645,472,"EU","07","9",80.2,83.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,2,0.137037741965506,"3","1"
"ABG",1815,"PIN 1BOW.27.101",5486,12645,474,"EU","09","3",20.6,28.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1774,"PIN 1BOW.27.101",3054,12645,478,"EU","13","3",23.6,29.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"4","1"
"ABG",1821,"PIN 1BOW.27.101",3328,12645,480,"EU","15","1",13,22,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1740,"PIN 1BOW.27.101",4751,12645,464,"EU","02","4",46.2,99.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,3,0.205556612948259,"3","1"
"ABG",1754,"PIN 1BOW.27.101",5028,12645,472,"EU","07","4",38.8,48,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,5,0.342594354913766,"4","1"
"ABG",1757,"PIN 1BOW.27.101",5154,12645,472,"EU","07","7",67.6,73.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,17,1.1648208067068,"3","1"
"ABG",1763,"PIN 1BOW.27.101",5382,12645,473,"EU","08","4A",30.6,39.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"1","1"
"ABG",1743,"PIN 1BOW.27.101",3320,12645,498,"EU","02B","1",4.8,25.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,17,1.1648208067068,"4","1"
"ABG",1825,"PIN 1BOW.27.101",3451,12645,480,"EU","15","5",46,55,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1819,"PIN 1BOW.27.101",3019,12645,477,"EU","12","4",44.8,51.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,9,0.616669838844779,"2","1"
"ABG",1842,"PIN 1BOW.27.101",4103,12645,500,"EU","31","2",14.2,23,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1741,"PIN 1BOW.27.101",3132,12645,497,"EU","02A","1",3.6,25.2,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,2,0.137037741965506,"3","1"
"ABG",1769,"PIN 1BOW.27.101",2692,12645,476,"EU","11","2",18.6,32.8,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,6,0.411113225896519,"3","1"
"ABG",1800,"PIN 1BOW.27.101",3630,12645,488,"EU","23","3",45,80.2,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"2","1"
"ABG",1780,"PIN 1BOW.27.101",3233,12645,479,"EU","14","3",24.8,33.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"1","1"
"ABG",1752,"PIN 1BOW.27.101",4974,12645,472,"EU","07","2",12,29.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,3,0.205556612948259,"4","1"
"ABG",1837,"PIN 1BOW.27.101",4012,12645,499,"EU","30","4",50,59.2,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1798,"PIN 1BOW.27.101",3658,12645,488,"EU","23","1",7.2,13.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,2,0.137037741965506,"2","1"
"ABG",1760,"PIN 1BOW.27.101",5259,12645,473,"EU","08","1",13.75,19.75,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,5,0.342594354913766,"1","1"
"ABG",1752,"PIN 1BOW.27.101",4973,12645,472,"EU","07","2",12,29.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"4","1"
"ABG",1680,"PIN 1BOW.27.101",3260,12645,411,"STP","A","1",0,65,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,2,0.137037741965506,"2","1"
"ABG",1682,"PIN 1BOW.27.101",3285,12645,412,"STP","B","2",16,53,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,3,0.205556612948259,"3","1"
"ABG",1775,"PIN 1BOW.27.101",3064,12645,478,"EU","13","4",29.4,36.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1828,"PIN 1BOW.27.101",3505,12645,480,"EU","15","8",75.2,83.8,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"4","1"
"ABG",1773,"PIN 1BOW.27.101",3038,12645,478,"EU","13","2",14.4,23.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"2","1"
"ABG",1818,"PIN 1BOW.27.101",2984,12645,477,"EU","12","3",35.8,43.8,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,6,0.411113225896519,"3","1"
"ABG",1738,"PIN 1BOW.27.101",4709,12645,464,"EU","02","2",11.6,25.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,14,0.959264193758544,"4","1"
"ABG",1758,"PIN 1BOW.27.101",5200,12645,472,"EU","07","8",73.4,80.2,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,11,0.753707580810285,"3","1"
"ABG",1820,"PIN 1BOW.27.101",3096,12645,477,"EU","12","5",51.4,91.8,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,7,0.479632096879272,"3","1"
"ABG",1737,"PIN 1BOW.27.101",4642,12645,464,"EU","02","1",4.4,11.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,17,1.1648208067068,"4","1"
"ABG",1819,"PIN 1BOW.27.101",3020,12645,477,"EU","12","4",44.8,51.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"2","1"
"ABG",1816,"PIN 1BOW.27.101",2735,12645,477,"EU","12","1",19.8,28.2,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1838,"PIN 1BOW.27.101",4048,12645,499,"EU","30","5",59.2,66.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,3,0.205556612948259,"4","1"
"ABG",1799,"PIN 1BOW.27.101",3677,12645,488,"EU","23","2",13.6,45,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,38,2.60371709734462,"4","1"
"ABG",1755,"PIN 1BOW.27.101",5061,12645,472,"EU","07","5",48,57.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,15,1.0277830647413,"4","1"
"ABG",1772,"PIN 1BOW.27.101",3032,12645,478,"EU","13","1",4.8,14.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,2,0.137037741965506,"4","1"
"ABG",1836,"PIN 1BOW.27.101",3991,12645,499,"EU","30","3",42.2,50,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1762,"PIN 1BOW.27.101",5344,12645,473,"EU","08","3",22.2,30.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,7,0.479632096879272,"1","1"
"ABG",1841,"PIN 1BOW.27.101",4069,12645,500,"EU","31","1",3.8,14.2,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1831,"PIN 1BOW.27.101",3962,12645,495,"EU","29","3",30,43,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,19,1.30185854867231,"4","1"
"ABG",1809,"PIN 1BOW.27.101",3834,12645,492,"EU","27","1",2.2,17.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,57,3.90557564601693,"4","1"
"ABG",1805,"PIN 1BOW.27.101",3784,12645,491,"EU","26","3",24.4,63.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,14,0.959264193758544,"3","1"
"ABG",1810,"PIN 1BOW.27.101",3873,12645,492,"EU","27","2",17.4,49.8,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,5,0.342594354913766,"3","1"
"ABG",1770,"PIN 1BOW.27.101",2702,12645,476,"EU","11","3",32.8,46.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1818,"PIN 1BOW.27.101",2983,12645,477,"EU","12","3",35.8,43.8,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,2,0.137037741965506,"3","1"
"ABG",1806,"PIN 1BOW.27.101",3805,12645,491,"EU","26","4",63.4,70.8,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,3,0.205556612948259,"1","1"
"ABG",1682,"PIN 1BOW.27.101",3286,12645,412,"STP","B","2",16,53,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,4,0.274075483931013,"3","1"
"ABG",1844,"PIN 1BOW.27.101",4136,12645,500,"EU","31","4",27.6,38.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"3","1"
"ABG",1746,"PIN 1BOW.27.101",4835,12645,469,"EU","04","1",3,26.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,7,0.479632096879272,"2","1"
"ABG",1751,"PIN 1BOW.27.101",4914,12645,472,"EU","07","1",3.6,12,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"4","1"
"ABG",1824,"PIN 1BOW.27.101",3426,12645,480,"EU","15","4",36,46,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,7,0.479632096879272,"4","1"
"ABG",1798,"PIN 1BOW.27.101",3660,12645,488,"EU","23","1",7.2,13.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,67,4.59076435584446,"2","1"
"ABG",1823,"PIN 1BOW.27.101",3393,12645,480,"EU","15","3",26.2,36,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,5,0.342594354913766,"3","1"
"ABG",1768,"PIN 1BOW.27.101",2663,12645,476,"EU","11","1",7.2,18.6,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.0685188709827532,"4","1"
