"P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","LEVEL_ID","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","CODE","IDENTIFY","BEGDATE","ENDDATE","N"
"1BOW.27.101",4447,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Other","Bone/Antler","Refuse/Unmodified","Bone","UDB","unidentified bone frag",,,1
"1BOW.27.101",1994,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Bone/Antler","Refuse/Unmodified","Bone","UDB","unidentified bone frag",,,1
"1BOW.27.101",1803,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Other","Bone/Antler","Refuse/Unmodified","Bone","UDB","unidentified bone frag",,,17
"1BOW.27.101",1993,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Bone/Antler","Refuse/Unmodified","Tooth/Tusk","TOOT","tooth",,,2
"1BOW.27.101",1808,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Other","Bone/Antler","Refuse/Unmodified","Tooth/Tusk","TOOT","tooth",,,3
"1BOW.27.101",1995,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Shell","Refuse/Unmodified","Clam Shell","CS","clam shell",,,12
"1BOW.27.101",4446,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Other","Botanical","Sample","Bark","BARK","bark sample",,,1
"1BOW.27.101",1807,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Other","Botanical","Sample","Charcoal","OCH","charcoal",,,2
"1BOW.27.101",1990,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Botanical","Sample","Nut","BNUT","nut (botanical)",,,1
"1BOW.27.101",2021,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,1
"1BOW.27.101",1814,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,45
"1BOW.27.101",6212,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,1
"1BOW.27.101",2022,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,4
"1BOW.27.101",2023,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,6
"1BOW.27.101",2016,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,1
"1BOW.27.101",2020,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,1
"1BOW.27.101",1811,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Architectural","Metal","Architectural Hardware","Wrought Nail","TWN","wrought nail, 'T' head",,"ca. 1820",1
"1BOW.27.101",2014,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Metal","Architectural Hardware","Wrought Nail","UWN","unidentified wrought nail",,,1
"1BOW.27.101",4449,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Architectural","Metal","Architectural Hardware","Cut Nail","MCN","machine cut nail","ca. 1835",,4
"1BOW.27.101",2001,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Metal","Architectural Hardware","Cut Nail","MCN","machine cut nail","ca. 1835",,48
"1BOW.27.101",1813,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Architectural","Metal","Architectural Hardware","Cut Nail","MCN","machine cut nail","ca. 1835",,4
"1BOW.27.101",1812,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Architectural","Metal","Architectural Hardware","Cut Nail","UCN","unidentified cut nail","ca. 1790",,4
"1BOW.27.101",2002,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Metal","Architectural Hardware","Cut Nail","UCN","unidentified cut nail","ca. 1790",,21
"1BOW.27.101",4448,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Architectural","Metal","Architectural Hardware","Wire Nail","CWN","common wire nail","1875",,1
"1BOW.27.101",2003,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Metal","Architectural Hardware","Wire Nail","CWN","common wire nail","1875",,17
