"LEVEL_ID","UNIT_ID","CODE","P_IDENT","Catalog_ID","S_NYSM_NUM","U_TYPE","U_LBL","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","IDENTIFY","BEGDATE","ENDDATE","N","zN","comp.grp","art.grp"
1875,449,"ABG","PIN 1BOW.27.101",5643,12644,"EU","09C","1",19,36.4,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.925820099772551,"1","1"
1875,449,"STY","PIN 1BOW.27.101",5639,12644,"EU","09C","1",19,36.4,"Domestic","Other","Plastic","Plastic","Styrofoam",1954,1970,2,0.645497224367903,"1","1"
1875,449,"PLAS","PIN 1BOW.27.101",5636,12644,"EU","09C","1",19,36.4,"Other","Other","Plastic","Plastic","unidentified plastic",NA,NA,1,0.650443635587991,"1","1"
1875,449,"PWRA","PIN 1BOW.27.101",5638,12644,"EU","09C","1",19,36.4,"Domestic","Other","Plastic","Plastic","plastic wrapper(s)",NA,NA,1,0.293150984988964,"1","1"
1875,449,"OCI","PIN 1BOW.27.101",5634,12644,"EU","09C","1",19,36.4,"Domestic","Other","Debris","Coal","cinder",NA,NA,8,1.34763424105842,"1","1"
1875,449,"AFG","PIN 1BOW.27.101",5645,12644,"EU","09C","1",19,36.4,"Architectural","Glass","Flat Glass","Flat Glass","aqua flat glass",NA,NA,3,0.680381260975845,"1","2"
1875,449,"ODMT","PIN 1BOW.27.101",5635,12644,"EU","09C","1",19,36.4,"Domestic","Metal","Domestic/Activity","Other Domestic/Activity Metal","other domestic/activity-related metal object",NA,NA,1,0.707106781186547,"1","1"
1875,449,"PSEA","PIN 1BOW.27.101",5640,12644,"EU","09C","1",19,36.4,"Other","Other","Plastic","Plastic","plastic twist top cap seal",NA,NA,1,0.707106781186547,"1","1"
1875,449,"OCO","PIN 1BOW.27.101",5633,12644,"EU","09C","1",19,36.4,"Domestic","Other","Debris","Coal","coal",NA,NA,2,0.592485663092346,"1","1"
1875,449,"MBG","PIN 1BOW.27.101",5644,12644,"EU","09C","1",19,36.4,"Domestic","Glass","Glass Vessel","Bottle Glass","brown bottle glass",NA,NA,1,0.193556133835239,"1","1"
1875,449,"BNUT","PIN 1BOW.27.101",5632,12644,"EU","09C","1",19,36.4,"Other","Botanical","Sample","Nut","nut (botanical)",NA,NA,1,0.447213595499958,"1","1"
1875,449,"XI","PIN 1BOW.27.101",5642,12644,"EU","09C","1",19,36.4,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,1,0.25723003496169,"1","2"
1875,449,"CELL","PIN 1BOW.27.101",5637,12644,"EU","09C","1",19,36.4,"Other","Other","Plastic","Plastic","Cellophane",1913,1960,1,0.707106781186547,"1","3"
1875,449,"MOII","PIN 1BOW.27.101",5641,12644,"EU","09C","1",19,36.4,"Domestic","Ceramics","Sherd","Ironstone","molded ironstone",1813,1885,2,1,"1","1"
1876,449,"ANY","PIN 1BOW.27.101",5648,12644,"EU","09C","2",36.4,46,"Domestic","Ceramics","Sherd","Yellowware","annular yellowware",1830,1940,1,1,"1","1"
1876,449,"XI","PIN 1BOW.27.101",5649,12644,"EU","09C","2",36.4,46,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,1,0.25723003496169,"1","2"
1876,449,"OCI","PIN 1BOW.27.101",5646,12644,"EU","09C","2",36.4,46,"Domestic","Other","Debris","Coal","cinder",NA,NA,1,0.168454280132302,"1","1"
1876,449,"OBG","PIN 1BOW.27.101",5647,12644,"EU","09C","2",36.4,46,"Domestic","Glass","Glass Vessel","Bottle Glass","olive-green bottle glass",NA,NA,1,0.654653670707977,"1","1"
1877,449,"MCN","PIN 1BOW.27.101",5651,12644,"EU","09C","3",46,63.6,"Architectural","Metal","Architectural Hardware","Cut Nail","machine cut nail",1835,1880,1,0.0762770071396474,"2","2"
1877,449,"UDB","PIN 1BOW.27.101",5650,12644,"EU","09C","3",46,63.6,"Other","Bone/Antler","Refuse/Unmodified","Bone","unidentified bone frag",NA,NA,4,1.0920378124639,"2","2"
1885,452,"PLAS","PIN 1BOW.27.101",5722,12644,"EU","10","1",3.75,14,"Other","Other","Plastic","Plastic","unidentified plastic",NA,NA,2,1.30088727117598,"3","1"
1885,452,"GBG","PIN 1BOW.27.101",5724,12644,"EU","10","1",3.75,14,"Domestic","Glass","Glass Vessel","Bottle Glass","green bottle glass",NA,NA,1,0.349215147884789,"3","1"
