"P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","LEVEL_ID","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","CODE","IDENTIFY","BEGDATE","ENDDATE","N"
"1BOW.27.101",1994,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Bone/Antler","Refuse/Unmodified","Bone","UDB","unidentified bone frag",NA,NA,1
"1BOW.27.101",1803,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Other","Bone/Antler","Refuse/Unmodified","Bone","UDB","unidentified bone frag",NA,NA,17
"1BOW.27.101",1993,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Bone/Antler","Refuse/Unmodified","Tooth/Tusk","TOOT","tooth",NA,NA,2
"1BOW.27.101",1808,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Other","Bone/Antler","Refuse/Unmodified","Tooth/Tusk","TOOT","tooth",NA,NA,3
"1BOW.27.101",1995,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Shell","Refuse/Unmodified","Clam Shell","CS","clam shell",NA,NA,12
"1BOW.27.101",1807,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Other","Botanical","Sample","Charcoal","OCH","charcoal",NA,NA,2
"1BOW.27.101",1990,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Botanical","Sample","Nut","BNUT","nut (botanical)",NA,NA,1
"1BOW.27.101",2021,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",NA,NA,1
"1BOW.27.101",1814,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",NA,NA,45
"1BOW.27.101",6212,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",NA,NA,1
"1BOW.27.101",2022,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",NA,NA,4
"1BOW.27.101",2023,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",NA,NA,6
"1BOW.27.101",2016,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",NA,NA,1
"1BOW.27.101",2020,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",NA,NA,1
"1BOW.27.101",1811,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Architectural","Metal","Architectural Hardware","Wrought Nail","TWN","wrought nail, 'T' head",NA,"ca. 1820",1
"1BOW.27.101",2014,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Metal","Architectural Hardware","Wrought Nail","UWN","unidentified wrought nail",NA,NA,1
"1BOW.27.101",2001,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Metal","Architectural Hardware","Cut Nail","MCN","machine cut nail","ca. 1835",NA,48
"1BOW.27.101",1813,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Architectural","Metal","Architectural Hardware","Cut Nail","MCN","machine cut nail","ca. 1835",NA,4
"1BOW.27.101",1812,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Architectural","Metal","Architectural Hardware","Cut Nail","UCN","unidentified cut nail","ca. 1790",NA,4
"1BOW.27.101",2002,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Metal","Architectural Hardware","Cut Nail","UCN","unidentified cut nail","ca. 1790",NA,21
"1BOW.27.101",2003,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Metal","Architectural Hardware","Wire Nail","CWN","common wire nail","1875",NA,17
"1BOW.27.101",2012,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Metal","Architectural Hardware","Other Hardware","BLT","bolt",NA,NA,1
"1BOW.27.101",1790,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Architectural","Metal","Architectural Hardware","Other Hardware","CAP","cap (metal hardware)",NA,NA,1
"1BOW.27.101",2018,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Metal","Architectural Hardware","Other Hardware","SCR","screw",NA,NA,2
"1BOW.27.101",1810,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Architectural","Metal","Architectural Hardware","Other Hardware","TACK","tack",NA,NA,1
"1BOW.27.101",2019,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Metal","Architectural Hardware","Other Hardware","TACK","tack",NA,NA,1
"1BOW.27.101",2011,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Metal","Architectural Hardware","Other Hardware","WAS","washer",NA,NA,2
"1BOW.27.101",1792,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Metal","Domestic/Activity","Cans","CF","can frag",NA,NA,1
"1BOW.27.101",1791,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Metal","Domestic/Activity","Cans","CF","can frag",NA,NA,1
"1BOW.27.101",1793,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Metal","Domestic/Activity","Cans","OPOP","aluminum can pull tab",NA,NA,1
"1BOW.27.101",2013,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Metal","Domestic/Activity","Tools","AXE","axe head (metal)",NA,NA,1
"1BOW.27.101",2010,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Metal","Domestic/Activity","Tools","STOL","small tool",NA,NA,1
