"CODE","MATERIAL","MATNAME","ARTIFACT","TYPENAME","CATEGORY","CATNAME","SUBCAT","IDENTIFY","BEGDATE","ENDDATE"
"ABES",13,"Other",1,"Debris",13,"Asbestos",0,"asbestos",NA,NA
"ABG",9,"Glass",4,"Glass Vessel",3,"Bottle Glass",3,"aqua bottle glass",NA,NA
"ABRD",3,"Ground or Rough Stone",1,"Rough Tool",1,"Abrader",0,"abrader",NA,NA
"ABS",8,"Ceramics",2,"Sherd",12,"Stoneware",13,"buff salt-glazed stoneware, Albany slip",1820,1900
"ABUR",4,"Bone/Antler",4,"Animal Burial",0,"Animal Burial",0,"animal burial",NA,NA
"ACAN",7,"Metal",6,"Domestic/Activity",5,"Cans",2,"aluminum can frag",NA,NA
"ACG",9,"Glass",4,"Glass Vessel",2,"Curved Glass",3,"aqua curved glass",NA,NA
"ACS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",7,"combed black slip-decorated redware",1770,1830
"ADZE",3,"Ground or Rough Stone",2,"Fine Tool",1,"Adze",0,"adze",NA,NA
"AEYE",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",10,"eyelet/grommet non-clothing hardware",NA,NA
"AFG",9,"Glass",1,"Flat Glass",1,"Flat Glass",2,"aqua flat glass",NA,NA
"AFI",8,"Ceramics",2,"Sherd",16,"Whiteware",6,"flow black whiteware",1835,1870
"AFP",8,"Ceramics",2,"Sherd",5,"Pearlware",10,"flow black pearlware",1787,1830
"AGR",8,"Ceramics",2,"Sherd",9,"Redware",3,"black-glazed redware",NA,NA
"AGS",8,"Ceramics",2,"Sherd",12,"Stoneware",35,"grey salt-glazed stoneware, Albany slip",NA,NA
"ALUM",7,"Metal",6,"Domestic/Activity",1,"Aluminum",99,"other aluminum object",NA,NA
"ANC",8,"Ceramics",2,"Sherd",3,"Creamware",2,"annular creamware",1780,1815
"ANP",8,"Ceramics",2,"Sherd",5,"Pearlware",3,"annular pearlware",1790,1830
"ANTL",4,"Bone/Antler",1,"Refuse/Unmodified",1,"Antler",0,"unmodified antler",NA,NA
"ANVL",3,"Ground or Rough Stone",1,"Rough Tool",2,"Anvil Stone",0,"anvil stone",NA,NA
"ANW",8,"Ceramics",2,"Sherd",16,"Whiteware",2,"annular whiteware",NA,NA
"ANY",8,"Ceramics",2,"Sherd",17,"Yellowware",2,"annular yellowware",1830,1940
"AOS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",1,"black & yellow slip-trail decorated redware",1770,1830
"AOSW",8,"Ceramics",2,"Sherd",12,"Stoneware",2,"brown salt-glazed stoneware, Albany slip",1820,1900
"APG",9,"Glass",1,"Flat Glass",2,"Plate Glass",1,"aqua plate glass",NA,NA
